,jaar,maand,brandstof_omschrijving,aantal,cum aantal
576,1972,mrt,Benzine,570,27042
577,1972,mrt,Diesel,11,541
578,1972,mrt,LPG,32,1323
579,1972,apr,Benzine,442,27484
580,1972,apr,Diesel,11,552
581,1972,apr,LPG,25,1348
582,1972,mei,Benzine,538,28022
583,1972,mei,Diesel,13,565
584,1972,mei,LPG,23,1371
585,1972,jun,Benzine,658,28680
586,1972,jun,Diesel,19,584
587,1972,jun,LPG,37,1408
588,1972,jul,Benzine,451,29131
589,1972,jul,Diesel,22,606
590,1972,jul,LPG,21,1429
591,1972,aug,Benzine,439,29570
592,1972,aug,Diesel,16,622
593,1972,aug,LPG,16,1445
594,1972,sep,Benzine,394,29964
595,1972,sep,Diesel,22,644
596,1972,sep,LPG,18,1463
597,1972,okt,Benzine,492,30456
598,1972,okt,Diesel,8,652
599,1972,okt,LPG,24,1487
600,1972,nov,Benzine,662,31118
601,1972,nov,Diesel,14,666
602,1972,nov,LPG,26,1513
603,1972,dec,Benzine,417,31535
604,1972,dec,Diesel,9,675
605,1972,dec,LPG,18,1531
606,1973,jan,Benzine,723,32258
607,1973,jan,Diesel,9,684
608,1973,jan,Elektriciteit,1,9
609,1973,jan,LPG,29,1560
610,1973,feb,Benzine,473,32731
611,1973,feb,Diesel,19,703
612,1973,feb,Elektriciteit,1,10
613,1973,feb,LPG,33,1593
614,1973,mrt,Benzine,704,33435
615,1973,mrt,Diesel,21,724
616,1973,mrt,LPG,32,1625
617,1973,apr,Benzine,696,34131
618,1973,apr,Diesel,11,735
619,1973,apr,LPG,34,1659
620,1973,mei,Benzine,732,34863
621,1973,mei,Diesel,10,745
622,1973,mei,LPG,43,1702
623,1973,jun,Benzine,672,35535
624,1973,jun,Diesel,30,775
625,1973,jun,LPG,35,1737
626,1973,jul,Benzine,543,36078
627,1973,jul,Diesel,19,794
628,1973,jul,Elektriciteit,1,11
629,1973,jul,LPG,38,1775
630,1973,aug,Benzine,486,36564
631,1973,aug,Diesel,11,805
632,1973,aug,LPG,24,1799
633,1973,sep,Benzine,432,36996
634,1973,sep,Diesel,12,817
635,1973,sep,LPG,34,1833
636,1973,okt,Benzine,652,37648
637,1973,okt,Diesel,12,829
638,1973,okt,LPG,32,1865
639,1973,nov,Benzine,390,38038
640,1973,nov,Diesel,16,845
641,1973,nov,Elektriciteit,1,12
642,1973,nov,LPG,20,1885
643,1973,dec,Benzine,214,38252
644,1973,dec,Diesel,6,851
645,1973,dec,LPG,21,1906
646,1974,jan,Benzine,385,38637
647,1974,jan,Diesel,20,871
648,1974,jan,LPG,23,1929
649,1974,feb,Benzine,350,38987
650,1974,feb,Diesel,19,890
651,1974,feb,LPG,19,1948
652,1974,mrt,Benzine,557,39544
653,1974,mrt,Diesel,22,912
654,1974,mrt,LPG,29,1977
655,1974,apr,Benzine,512,40056
656,1974,apr,Diesel,20,932
657,1974,apr,LPG,23,2000
658,1974,mei,Benzine,614,40670
659,1974,mei,Diesel,18,950
660,1974,mei,LPG,38,2038
661,1974,jun,Benzine,481,41151
662,1974,jun,Diesel,24,974
663,1974,jun,LPG,27,2065
664,1974,jul,Benzine,414,41565
665,1974,jul,Diesel,22,996
666,1974,jul,Elektriciteit,1,13
667,1974,jul,LPG,22,2087
668,1974,aug,Benzine,394,41959
669,1974,aug,Diesel,19,1015
670,1974,aug,LPG,13,2100
671,1974,sep,Benzine,337,42296
672,1974,sep,Diesel,14,1029
673,1974,sep,LPG,19,2119
674,1974,okt,Benzine,388,42684
675,1974,okt,Diesel,19,1048
676,1974,okt,LPG,17,2136
677,1974,nov,Benzine,400,43084
678,1974,nov,Diesel,23,1071
679,1974,nov,LPG,19,2155
680,1974,dec,Benzine,286,43370
681,1974,dec,Diesel,16,1087
682,1974,dec,LPG,16,2171
683,1975,jan,Benzine,564,43934
684,1975,jan,Diesel,35,1122
685,1975,jan,LPG,24,2195
686,1975,feb,Benzine,401,44335
687,1975,feb,Diesel,28,1150
688,1975,feb,Elektriciteit,1,14
689,1975,feb,LPG,18,2213
690,1975,mrt,Benzine,501,44836
691,1975,mrt,Diesel,30,1180
692,1975,mrt,LPG,10,2223
693,1975,apr,Benzine,573,45409
694,1975,apr,Diesel,17,1197
695,1975,apr,LPG,28,2251
696,1975,mei,Benzine,576,45985
697,1975,mei,Diesel,20,1217
698,1975,mei,LPG,21,2272
699,1975,jun,Benzine,522,46507
700,1975,jun,Diesel,29,1246
701,1975,jun,LPG,32,2304
702,1975,jul,Benzine,463,46970
703,1975,jul,Diesel,25,1271
704,1975,jul,LPG,20,2324
705,1975,aug,Benzine,366,47336
706,1975,aug,Diesel,20,1291
707,1975,aug,Elektriciteit,1,15
708,1975,aug,LPG,13,2337
709,1975,sep,Benzine,358,47694
710,1975,sep,Diesel,24,1315
711,1975,sep,LPG,15,2352
712,1975,okt,Benzine,401,48095
713,1975,okt,Diesel,30,1345
714,1975,okt,LPG,24,2376
715,1975,nov,Benzine,322,48417
716,1975,nov,Diesel,28,1373
717,1975,nov,LPG,19,2395
718,1975,dec,Benzine,208,48625
719,1975,dec,Diesel,19,1392
720,1975,dec,LPG,12,2407
721,1976,jan,Benzine,511,49136
722,1976,jan,Diesel,44,1436
723,1976,jan,LPG,20,2427
724,1976,feb,Benzine,362,49498
725,1976,feb,Diesel,17,1453
726,1976,feb,LPG,19,2446
727,1976,mrt,Benzine,401,49899
728,1976,mrt,Diesel,32,1485
729,1976,mrt,LPG,11,2457
730,1976,apr,Benzine,491,50390
731,1976,apr,Diesel,23,1508
732,1976,apr,LPG,16,2473
733,1976,mei,Benzine,394,50784
734,1976,mei,Diesel,23,1531
735,1976,mei,LPG,21,2494
736,1976,jun,Benzine,487,51271
737,1976,jun,Diesel,27,1558
738,1976,jun,LPG,26,2520
739,1976,jul,Benzine,364,51635
740,1976,jul,Diesel,16,1574
741,1976,jul,LPG,17,2537
742,1976,aug,Benzine,282,51917
743,1976,aug,Diesel,24,1598
744,1976,aug,LPG,15,2552
745,1976,sep,Benzine,415,52332
746,1976,sep,Diesel,32,1630
747,1976,sep,LPG,16,2568
748,1976,okt,Benzine,299,52631
749,1976,okt,Diesel,27,1657
750,1976,okt,Elektriciteit,1,16
751,1976,okt,LPG,16,2584
752,1976,nov,Benzine,275,52906
753,1976,nov,Diesel,31,1688
754,1976,nov,LPG,15,2599
755,1976,dec,Benzine,172,53078
756,1976,dec,Diesel,13,1701
757,1976,dec,LPG,13,2612
758,1977,jan,Benzine,445,53523
759,1977,jan,Diesel,48,1749
760,1977,jan,LPG,25,2637
761,1977,feb,Benzine,351,53874
762,1977,feb,Diesel,25,1774
763,1977,feb,LPG,21,2658
764,1977,mrt,Benzine,518,54392
765,1977,mrt,Diesel,37,1811
766,1977,mrt,LPG,24,2682
767,1977,apr,Benzine,569,54961
768,1977,apr,Diesel,45,1856
769,1977,apr,LPG,25,2707
770,1977,mei,Benzine,543,55504
771,1977,mei,Diesel,38,1894
772,1977,mei,LPG,26,2733
773,1977,jun,Benzine,647,56151
774,1977,jun,Diesel,40,1934
775,1977,jun,LPG,26,2759
776,1977,jul,Benzine,463,56614
777,1977,jul,Diesel,16,1950
778,1977,jul,LPG,23,2782
779,1977,aug,Benzine,487,57101
780,1977,aug,Diesel,23,1973
781,1977,aug,LPG,30,2812
782,1977,sep,Benzine,484,57585
783,1977,sep,Diesel,35,2008
784,1977,sep,LPG,15,2827
785,1977,okt,Benzine,431,58016
786,1977,okt,Diesel,34,2042
787,1977,okt,LPG,19,2846
788,1977,nov,Benzine,376,58392
789,1977,nov,Diesel,49,2091
790,1977,nov,LPG,22,2868
791,1977,dec,Benzine,219,58611
792,1977,dec,Diesel,17,2108
793,1977,dec,LPG,16,2884
794,1978,jan,Benzine,680,59291
795,1978,jan,Diesel,48,2156
796,1978,jan,Elektriciteit,1,17
797,1978,jan,LPG,35,2919
798,1978,feb,Benzine,476,59767
